"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"x2",-28.2218558019686,1.90577869455378e-06,7,50,"medium",0.4472136,150207,"int12_3","null",0
"x3",-30.1935357328743,2.65327798405867e-07,7,50,"medium",0.4472136,150207,"int12_3","null",0
"x4",-31.0400084683615,1.13805778853809e-07,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int124_3",-52.0729118198051,8.35007644324843e-17,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int12_3",-55.9533356532067,1.72362900245767e-18,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int12_4",-56.2512447809574,1.27956838972717e-18,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int134_2",-56.7629892745637,7.67035903766072e-19,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int23_1",-62.0737791840785,3.78764214969453e-21,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int24_1",-62.1361668965096,3.55856007231198e-21,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int13_2",-62.6927303400585,2.03967920986263e-21,7,50,"medium",0.4472136,150207,"int12_3","null",0
"main",-62.6960083373767,2.03300409336686e-21,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int14_2",-63.2568002175958,1.1603511419471e-21,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int14_3",-70.7847389952395,6.24089912295765e-25,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int34_1",-70.8218803810121,6.01335528492595e-25,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int13_4",-70.9941060429354,5.06197748629916e-25,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int12",-71.6716983395496,2.5706657650535e-25,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int24_3",-73.2039517035403,5.55387924639769e-26,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int23_4",-73.3339977709595,4.87661133207274e-26,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int34_2",-75.1308997072297,8.08599648257586e-27,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int24",-76.7056901472766,1.6742131541172e-27,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int23",-77.7256116214642,6.03760201044718e-28,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int13",-78.4216832949701,3.00998543979104e-28,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int14",-78.4300730955142,2.98483790123534e-28,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int34",-78.4324806154692,2.97766048777569e-28,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int123_4",-117.207589363799,4.30585512533772e-45,7,50,"medium",0.4472136,150207,"int12_3","null",0
"int234_1",-122.112336067429,3.19120706624891e-47,7,50,"medium",0.4472136,150207,"int12_3","null",0
"full",-223.336470207936,3.49037502383976e-91,7,50,"medium",0.4472136,150207,"int12_3","null",0
"x1",6.18433570211548,0.953714728464075,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int12_3",3.13598045142133,0.0452412530758497,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int12_4",-0.744445357856343,0.000933871472460075,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"main",-4.26084557467815,2.77417528701231e-05,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int12",-4.2920887134925,2.68884133501156e-05,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int24_1",-4.52799637768,2.12379101457939e-05,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int23_1",-4.72210973658748,1.74907897125315e-05,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int13_2",-5.01589294046781,1.30383007361529e-05,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int14_2",-6.8916177063294,1.99803954135981e-06,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"null",-7.17700468068311,1.50197287833835e-06,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int24",-9.29529949593233,1.80591930773111e-07,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int14",-11.138969591341,2.85760760058999e-08,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int34",-11.5549870124647,1.88507451449297e-08,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int23",-12.4271555994584,7.88044091791076e-09,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int13",-12.6991555357893,6.00374787483043e-09,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int34_1",-13.196047993363,3.65279074256003e-09,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int14_3",-13.3787557563297,3.0428169038409e-09,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int13_4",-14.413237136498,1.08144955234174e-09,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"x2",-16.5514348609903,1.27467301617334e-10,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"x3",-21.7716526121144,6.89107582415171e-13,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"x4",-22.9782257124897,2.06195407916132e-13,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int124_3",-25.2967386305509,2.0293718064903e-14,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int123_4",-29.0993059507395,4.52822104030551e-16,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int234_1",-32.1316092023378,2.1828055467137e-17,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int134_2",-33.1613690583758,7.79463934829573e-18,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int24_3",-60.7506078986848,8.12721665433502e-30,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int23_4",-61.2808485624021,4.7825689830527e-30,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int34_2",-61.5442604719498,3.67504705526888e-30,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"full",-76.594087597751,1.06956216046222e-36,8,50,"medium",0.4472136,150208,"int12_3","x1",0
"int12_3",-8.06341192074559,0.984793166692419,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"null",-12.2460683830806,0.0150258969187965,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int12",-16.6675861720191,0.000180550887595799,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int12_4",-22.9756423274694,3.288861977099e-07,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"x3",-25.1931046968753,3.58107962045728e-08,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"x1",-26.2887261571508,1.19726868250604e-08,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"x2",-27.0862339652774,5.39309887156553e-09,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"x4",-28.2188681568565,1.73756717212014e-09,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int24",-28.5020032828646,1.30911433958101e-09,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int34",-29.7085565590935,3.917221684955e-10,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int123_4",-41.4355092211108,3.16247658992982e-15,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int124_3",-41.623584687121,2.62027686439285e-15,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int234_1",-50.7234739032128,2.92627751180632e-19,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int23_1",-62.4201833724095,2.43500092711577e-24,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"main",-62.5006317001935,2.24678163882125e-24,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int13_2",-62.6985640309123,1.84331665476528e-24,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int14_3",-66.2918105586711,5.0707571059004e-26,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int14_2",-67.1750120238372,2.09654063939412e-26,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int24_1",-67.4594873976154,1.57745580321672e-26,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int34_1",-69.2038519562776,2.75669867733953e-27,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int24_3",-69.7102229670603,1.6614036570589e-27,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int34_2",-70.1058070577378,1.11860092567398e-27,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int13_4",-70.1873480098511,1.03100883961121e-27,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int23_4",-70.474356167315,7.73777914571732e-28,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int14",-74.8495207907334,9.73882308236316e-30,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int23",-78.0398652039584,4.00827492980051e-31,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"int13",-78.2367311961137,3.29199895222078e-31,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
"full",-94.4009356718869,3.14365501256833e-38,9,50,"medium",0.4472136,150209,"int12_3","int12_3",1
