"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"x1",113.106350497204,2.59430373494796e-101,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int14_3",103.677542013664,2.08516931631656e-105,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int13_4",101.123966316406,1.6223236194359e-106,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int34_1",98.4100133662248,1.07518377168005e-107,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"null",87.4053928349311,1.78746163254629e-112,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"x3",86.0101751163609,4.42895606687932e-113,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"x4",78.2664844295811,1.91981436730863e-116,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"x2",64.0999946093273,1.35154615268594e-122,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int23_4",21.5502816189128,4.48461662218974e-141,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int24_3",21.4254693316253,3.95840325123857e-141,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
"int34_2",21.4062423098944,3.88302194711571e-141,45,500,"big",0.7071068,600345,"int12_3","int12_3",1
