"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int134_2",-81.5756895836403,6.56731682966905e-31,5,100,"small",0.1,200105,"int12_3","x1",0
"int234_1",-88.1152779099341,9.49031974090531e-34,5,100,"small",0.1,200105,"int12_3","x1",0
"full",-182.468179889397,1.00077434440583e-74,5,100,"small",0.1,200105,"int12_3","x1",0
"int12_3",-9.25146345157364,0.893658908541131,6,100,"small",0.1,200106,"int12_3","int12_3",1
"null",-11.4229676420777,0.101882478534718,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int12_4",-14.5584769460246,0.00442960614528998,6,100,"small",0.1,200106,"int12_3","int12_3",1
"x2",-19.6515136507058,2.71948943551246e-05,6,100,"small",0.1,200106,"int12_3","int12_3",1
"x1",-22.4632950847254,1.63435431852047e-06,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int12",-24.9641265349581,1.34044474331381e-07,6,100,"small",0.1,200106,"int12_3","int12_3",1
"x3",-26.7562427197678,2.23327778510087e-08,6,100,"small",0.1,200106,"int12_3","int12_3",1
"x4",-26.8106102887072,2.1151014878314e-08,6,100,"small",0.1,200106,"int12_3","int12_3",1
"main",-37.0260924759219,7.74111763057654e-13,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int13_2",-37.2889712070847,5.95164315972264e-13,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int23_1",-37.4004899582691,5.32359374645194e-13,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int14_2",-41.1846196436288,1.20998020404313e-14,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int24_1",-41.7865757615064,6.62753522602053e-15,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int14",-52.1503384381513,2.09135183863523e-19,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int34",-52.4804253282677,1.50339183618432e-19,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int24",-52.6755090106727,1.23693939305662e-19,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int13",-52.854278677273,1.03445056480812e-19,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int23",-52.9670280953957,9.24151751484624e-20,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int23_4",-65.9242171289905,2.180256513785e-25,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int34_2",-65.932683403031,2.16187578260509e-25,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int24_3",-65.9718571196076,2.07882440937848e-25,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int123_4",-68.0700768799237,2.55019003217064e-26,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int14_3",-68.1376760610758,2.38349690621602e-26,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int13_4",-68.6050528821267,1.49360382864712e-26,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int34_1",-68.7195154799865,1.33206354675034e-26,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int124_3",-71.0460914333096,1.30048649114606e-27,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int134_2",-95.7826534453986,2.35046323326158e-38,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int234_1",-97.2469890663494,5.43501293932235e-39,6,100,"small",0.1,200106,"int12_3","int12_3",1
"full",-175.085904900134,8.51508442841893e-73,6,100,"small",0.1,200106,"int12_3","int12_3",1
"int12_3",-6.44378540810331,0.612978292073698,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int12_4",-6.91100733089277,0.384178619704002,7,100,"small",0.1,200107,"int12_3","int12_3",1
"null",-11.8204666730948,0.00283388413837384,7,100,"small",0.1,200107,"int12_3","int12_3",1
"x2",-17.5744746925868,8.9835535042072e-06,7,100,"small",0.1,200107,"int12_3","int12_3",1
"x1",-21.7466611727709,1.38513018278636e-07,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int12",-22.2920700444693,8.0282803456676e-08,7,100,"small",0.1,200107,"int12_3","int12_3",1
"x4",-26.3803952787839,1.3461251552377e-09,7,100,"small",0.1,200107,"int12_3","int12_3",1
"x3",-27.6231913762921,3.8845968420496e-10,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int14_2",-38.4813726922931,7.47648943124271e-15,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int24_1",-38.6790126009638,6.13569554971466e-15,7,100,"small",0.1,200107,"int12_3","int12_3",1
"main",-40.3303891939319,1.17673876386319e-15,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int13_2",-41.2099078354804,4.88326134110582e-16,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int23_1",-41.3075341756362,4.42905819369421e-16,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int24",-54.1745987200568,1.14344757191418e-21,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int14",-54.2701839046571,1.03921196507462e-21,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int34",-55.8812627448152,2.07501618339766e-22,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int13",-56.1466202291095,1.5913957615098e-22,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int23",-56.2195825131659,1.47941861741593e-22,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int24_3",-58.6430231702166,1.31100447797881e-23,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int124_3",-62.7068750094059,2.25266051159563e-25,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int34_2",-63.5450944967289,9.7423033468146e-26,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int23_4",-63.7747413316384,7.7433215628472e-26,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int14_3",-64.5923604464684,3.41853338123889e-26,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int34_1",-66.9338934141956,3.28794828436218e-27,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int13_4",-67.9192324000699,1.22743271263766e-27,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int123_4",-69.09985240519,3.76930204538173e-28,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int234_1",-100.583126063141,8.00292815779712e-42,7,100,"small",0.1,200107,"int12_3","int12_3",1
"int134_2",-101.121781215005,4.66996857516258e-42,7,100,"small",0.1,200107,"int12_3","int12_3",1
"full",-168.990786581038,1.56379361448129e-71,7,100,"small",0.1,200107,"int12_3","int12_3",1
"x1",-1.23817641917276,0.971976293210079,8,100,"small",0.1,200108,"int12_3","x1",0
"int12_3",-4.95067688104913,0.023732156731123,8,100,"small",0.1,200108,"int12_3","x1",0
"null",-6.78134378781775,0.00380442189130479,8,100,"small",0.1,200108,"int12_3","x1",0
"x3",-9.20194713522389,0.000338091300014073,8,100,"small",0.1,200108,"int12_3","x1",0
"int13_2",-10.6917016522576,7.62152413462241e-05,8,100,"small",0.1,200108,"int12_3","x1",0
"main",-11.3597852554939,3.90748038758352e-05,8,100,"small",0.1,200108,"int12_3","x1",0
"int23_1",-11.5130509100766,3.35223440325092e-05,8,100,"small",0.1,200108,"int12_3","x1",0
"x2",-16.550086881413,2.17659411865541e-07,8,100,"small",0.1,200108,"int12_3","x1",0
"int12",-20.6174385358441,3.72691142985626e-09,8,100,"small",0.1,200108,"int12_3","x1",0
"int12_4",-20.9700760502945,2.61939229214084e-09,8,100,"small",0.1,200108,"int12_3","x1",0
"x4",-22.8861455463569,3.85533513442114e-10,8,100,"small",0.1,200108,"int12_3","x1",0
"int14_2",-25.4242425090456,3.04635583643402e-11,8,100,"small",0.1,200108,"int12_3","x1",0
"int24_1",-25.7442354099409,2.21212406125502e-11,8,100,"small",0.1,200108,"int12_3","x1",0
"int13",-26.3955458885318,1.15331763502029e-11,8,100,"small",0.1,200108,"int12_3","x1",0
"int23",-26.8540524221851,7.29158722307794e-12,8,100,"small",0.1,200108,"int12_3","x1",0
"int24",-27.1230658915728,5.57174215102488e-12,8,100,"small",0.1,200108,"int12_3","x1",0
"int34",-27.2026252263406,5.14563325960679e-12,8,100,"small",0.1,200108,"int12_3","x1",0
"int14",-27.2992203711751,4.67184140641714e-12,8,100,"small",0.1,200108,"int12_3","x1",0
"int13_4",-31.3947405702108,7.77725374155848e-14,8,100,"small",0.1,200108,"int12_3","x1",0
"int34_1",-31.7571062605481,5.41318473913003e-14,8,100,"small",0.1,200108,"int12_3","x1",0
"int14_3",-31.9415688367403,4.50133950305837e-14,8,100,"small",0.1,200108,"int12_3","x1",0
"int23_4",-51.408955778342,1.58038552774925e-22,8,100,"small",0.1,200108,"int12_3","x1",0
"int34_2",-51.7862115023175,1.08373466406083e-22,8,100,"small",0.1,200108,"int12_3","x1",0
"int24_3",-52.0864518101834,8.02657477437485e-23,8,100,"small",0.1,200108,"int12_3","x1",0
"int123_4",-66.6426726286803,3.82687147755055e-29,8,100,"small",0.1,200108,"int12_3","x1",0
"int124_3",-67.3095671767323,1.96433364283255e-29,8,100,"small",0.1,200108,"int12_3","x1",0
"int134_2",-73.7156645048182,3.24401261720633e-32,8,100,"small",0.1,200108,"int12_3","x1",0
"int234_1",-73.9608818321845,2.53855164090504e-32,8,100,"small",0.1,200108,"int12_3","x1",0
"full",-174.353458376246,6.37740481601231e-76,8,100,"small",0.1,200108,"int12_3","x1",0
"int12_3",-6.91451995252112,0.936019520811,9,100,"small",0.1,200109,"int12_3","int12_3",1
"null",-9.60937346014833,0.063230249893654,9,100,"small",0.1,200109,"int12_3","int12_3",1
"x1",-14.7033016460009,0.000387846606479745,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int12_4",-15.218365385871,0.000231723807476179,9,100,"small",0.1,200109,"int12_3","int12_3",1
"x2",-15.8283826664884,0.000125905156439805,9,100,"small",0.1,200109,"int12_3","int12_3",1
"x3",-19.1991051239194,4.32670567954561e-06,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int23_1",-22.1932473009982,2.16679551586602e-07,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int12",-22.4123802479839,1.74040250004546e-07,9,100,"small",0.1,200109,"int12_3","int12_3",1
"x4",-24.7721678671026,1.64364096590773e-08,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int13_2",-25.1610356926938,1.11409905584723e-08,9,100,"small",0.1,200109,"int12_3","int12_3",1
"main",-25.4124248716263,8.66456717256218e-09,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int14_2",-30.9003909591613,3.58388020331472e-11,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int24_1",-31.4056268822521,2.16238146845994e-11,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int23",-37.9053028516695,3.25206264689734e-14,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int14",-40.4695128901246,2.50343680586004e-15,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int13",-40.7889776295191,1.81884151965709e-15,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int24",-41.2565823689894,1.13950622349212e-15,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int34",-41.2858290875366,1.10666203912779e-15,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int23_4",-53.3668093775921,6.27064098980996e-21,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int34_1",-54.1727371514186,2.80092804476025e-21,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int14_3",-54.6134432752528,1.80262634672084e-21,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int13_4",-55.0185627670937,1.20216631425658e-21,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int34_2",-55.6819112066442,6.19264219511667e-22,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int24_3",-55.8793221475498,5.08325042128626e-22,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int123_4",-65.1219099091148,4.92194370311547e-26,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int124_3",-67.1396254968372,6.54415980687602e-27,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int234_1",-85.0545771126023,1.08514872850536e-34,9,100,"small",0.1,200109,"int12_3","int12_3",1
"int134_2",-85.5952346443555,6.31952859389039e-35,9,100,"small",0.1,200109,"int12_3","int12_3",1
"full",-170.295217432369,1.037407876634e-71,9,100,"small",0.1,200109,"int12_3","int12_3",1
"x1",3.23015961007486,0.999685592741099,10,100,"small",0.1,200110,"int12_3","x1",0
"int12_3",-4.87911734953875,0.000300641685389643,10,100,"small",0.1,200110,"int12_3","x1",0
"null",-8.22317651762017,1.06106686733295e-05,10,100,"small",0.1,200110,"int12_3","x1",0
"int12_4",-9.43676783668411,3.15272971734066e-06,10,100,"small",0.1,200110,"int12_3","x1",0
"int23_1",-17.094485257948,1.48930044875399e-09,10,100,"small",0.1,200110,"int12_3","x1",0
"main",-19.0164237056675,2.17918980252235e-10,10,100,"small",0.1,200110,"int12_3","x1",0
"int13_2",-19.1325884107445,1.94019493973384e-10,10,100,"small",0.1,200110,"int12_3","x1",0
"x3",-19.7238500475582,1.0741469542233e-10,10,100,"small",0.1,200110,"int12_3","x1",0
"int24_1",-19.7897235140459,1.00566935945905e-10,10,100,"small",0.1,200110,"int12_3","x1",0
"int12",-20.7550414683687,3.83021327796802e-11,10,100,"small",0.1,200110,"int12_3","x1",0
"int14_2",-21.5991119305731,1.64682637318237e-11,10,100,"small",0.1,200110,"int12_3","x1",0
"x2",-22.0926811589949,1.00529476515538e-11,10,100,"small",0.1,200110,"int12_3","x1",0
"x4",-24.3272442505419,1.07605631595331e-12,10,100,"small",0.1,200110,"int12_3","x1",0
"int23",-32.9998348591463,1.84236958676677e-16,10,100,"small",0.1,200110,"int12_3","x1",0
"int34",-33.2303175557876,1.46311813223024e-16,10,100,"small",0.1,200110,"int12_3","x1",0
"int24",-33.9181938612401,7.35425202596837e-17,10,100,"small",0.1,200110,"int12_3","x1",0
