"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"x1",-10.391841590702,0.000306762025238254,6,50,"big",0.7071068,150306,"int12_3","null",0
"x2",-10.5206018762998,0.000269700477142835,6,50,"big",0.7071068,150306,"int12_3","null",0
"int12_3",-22.239702342875,2.19452761042105e-09,6,50,"big",0.7071068,150306,"int12_3","null",0
"int12_4",-25.9882055201919,5.16876519921662e-11,6,50,"big",0.7071068,150306,"int12_3","null",0
"main",-28.6426354141351,3.63565402604279e-12,6,50,"big",0.7071068,150306,"int12_3","null",0
"int13_2",-29.6093422064539,1.38276100289393e-12,6,50,"big",0.7071068,150306,"int12_3","null",0
"int23_1",-29.7503363430127,1.20092019314998e-12,6,50,"big",0.7071068,150306,"int12_3","null",0
"int24_3",-29.9985625460322,9.3693805161927e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int24_1",-30.2271519500022,7.45479594710247e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int34_2",-30.3136962853344,6.83675525548927e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int12",-30.4140253849817,6.18411644765169e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int14_2",-30.7822069815903,4.27935605987105e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int23_4",-31.5750074376007,1.9367321402126e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int34_1",-31.8703394652372,1.44147956433106e-13,6,50,"big",0.7071068,150306,"int12_3","null",0
"int14_3",-32.8217271290085,5.56706224691154e-14,6,50,"big",0.7071068,150306,"int12_3","null",0
"int13_4",-32.9990412524333,4.66250737680088e-14,6,50,"big",0.7071068,150306,"int12_3","null",0
"int34",-35.8491366072187,2.69673856866173e-15,6,50,"big",0.7071068,150306,"int12_3","null",0
"int24",-36.1550557252225,1.98600282351058e-15,6,50,"big",0.7071068,150306,"int12_3","null",0
"int14",-36.8176253453315,1.02383396224009e-15,6,50,"big",0.7071068,150306,"int12_3","null",0
"int13",-37.2721951400478,6.49848885156288e-16,6,50,"big",0.7071068,150306,"int12_3","null",0
"int23",-37.4198298334029,5.60654672041556e-16,6,50,"big",0.7071068,150306,"int12_3","null",0
"int123_4",-54.5265316480766,2.08616782930776e-23,6,50,"big",0.7071068,150306,"int12_3","null",0
